meter,n_records,kwh_mean,kwh_std,kwh_cv,kwh_p95,kwh_max,v_mean,v_std,v_cv,v_min,v_max,v_pct_outside_band,f_mean,f_std,f_min,f_max,f_pct_outside_band,i_mean,i_p95,i_max,v_i_corr,kwh_v_corr,kwh_ramp_mean,kwh_ramp_p95,v_ramp_mean,v_ramp_p95,kmeans_cluster
BR15,7152,0.1403815715883668,0.109317433071863,0.778716407253286,0.323,1.03,244.02982088926177,35.25954851418371,0.1444886874304765,0.0,309.16700000000003,0.3034116331096196,48.614428131991055,6.656449397929722,0.0,50.27,0.1027684563758389,1.2298819910514542,2.742,8.144,-0.0015676354451611,0.041324027152701,0.0380439099426653,0.154,8.372585372675152,51.135000000000005,0
BR16,6528,0.0175958946078431,0.0184755291386606,1.0499908956277475,0.048,0.195,229.83981816789216,39.61548283561925,0.1723612694762974,0.0,267.525,0.2590379901960784,47.68219071691177,8.02231755663881,0.0,50.254,0.1686580882352941,0.2019640012254902,0.587,1.611,0.1265697670326942,0.1360619635117445,0.0064440018385169,0.025,14.234384556457792,88.37159999999993,0
BR17,6682,0.0419943130799161,0.0673433896792961,1.6036311762295072,0.1629499999999998,0.962,230.0029993847484,39.50619477482756,0.1717638243001418,0.0,299.456,0.2662376533971864,47.63500906248961,7.90677612378409,0.0,50.264,0.1715055372642921,0.0727170008979347,0.462,8.651,0.0101907070627854,0.0290660376432253,0.0142775033677593,0.059,14.16158748690316,83.20400000000004,0
BR18,7104,0.2857882882882883,0.2725254393708297,0.9535920488663282,0.876,1.685,230.7298994932432,38.72216033946499,0.1678246314175634,0.0,269.10900000000004,0.2798423423423423,47.752808699324326,7.747838587765433,0.0,55.54600000000001,0.1692004504504504,3.082033643018018,8.542699999999998,17.282,0.024165542118804,0.0524180148997797,0.1289791637336337,0.546,14.186582429959174,91.7173999999999,3
BR19,7248,0.0574169426048565,0.0709662480479608,1.235980963604257,0.188,1.063,234.19537996688743,39.08235681271146,0.1668792818126355,0.0,290.805,0.1993653421633554,47.73919936534217,7.781509098497248,0.0,50.268,0.1670805739514348,0.6149225993377483,1.9942999999999995,8.931000000000001,-0.0405243106050799,0.0056048761262487,0.0235134538429695,0.102,14.187062370636124,83.63059999999986,0
BR20,5232,0.0314648318042813,0.0816633070809025,2.595383556755286,0.144,1.274,231.2399998088685,38.63505719081376,0.1670777427034578,0.0,291.183,0.2138761467889908,47.72023107798165,7.778215471530069,0.0,50.267,0.1731651376146789,0.0863281727828746,0.06,11.11,-0.0014148296471283,0.033007630153624,0.0149489581341999,0.0734999999999999,13.938780347925828,77.0835,0
BR22,4176,0.1359166666666666,0.107346877438556,0.7897992208845329,0.27625,1.018,239.83294468390807,35.68900910045708,0.1488077842995841,0.0,268.555,0.1561302681992337,48.15112212643678,7.055905668672258,0.0,50.184,0.1355363984674329,1.5521135057471265,3.06025,8.764,0.1018644719587575,0.1390627263017376,0.0376536526946107,0.1268999999999991,11.93737125748503,75.4825,0
BR23,7104,0.2942166385135135,0.2634436417630463,0.895407014008646,0.9418499999999994,1.218,246.95887274774773,33.003944068705465,0.1336414590068882,0.0,282.73,0.3844313063063063,48.81611739864865,6.249395806922647,0.0,50.27,0.0920608108108108,2.482998310810811,7.671549999999998,10.269,0.0537535728148778,0.0116096162061986,0.069788680839082,0.3148999999999995,7.182527805152754,42.13459999999993,3
BR24,7104,0.3134957770270269,0.3197579045748928,1.0199751575834657,1.084,2.031,239.05798747184684,33.43735398776655,0.1398713104773559,0.0,308.472,0.2157939189189189,48.83251097972974,6.472611736625922,0.0,50.365,0.0831925675675675,2.718237612612613,9.363599999999993,17.993000000000002,-0.0668286771369881,-0.0489694179168837,0.1146180487118119,0.4918999999999996,6.791158946923835,26.40990000000002,3
BR26,7872,0.3212520325203252,0.1916993686584087,0.5967257768128832,0.661,0.952,225.9904373729675,33.26650689113282,0.1472031616817079,0.0,250.541,0.5213414634146342,48.64011864837398,6.957723380109548,0.0,50.269,0.0948932926829268,2.8662267530487804,5.86945,8.884,0.0696119662779203,0.0967330486090338,0.0648565620632702,0.2065,7.636254859611231,44.508,3
