meter,n_records,kwh_mean,kwh_std,kwh_cv,kwh_p95,kwh_max,v_mean,v_std,v_cv,v_min,v_max,v_pct_outside_band,f_mean,f_std,f_min,f_max,f_pct_outside_band,i_mean,i_p95,i_max,v_i_corr,kwh_v_corr,kwh_ramp_mean,kwh_ramp_p95,v_ramp_mean,v_ramp_p95
BR12,7152,0.23459787472035795,0.2702134913934092,1.1518155981400313,0.883,1.263,241.22750643176735,35.216185210818104,0.14598743622456345,0.0,300.18600000000004,0.2003635346756152,48.538326062639825,6.858366651710862,0.0,50.256,0.10794183445190157,2.025910514541387,7.481349999999998,10.361,-0.012207130660338772,0.004519797932458917,0.07322430429310585,0.474,8.335429590267097,50.07849999999999
BR13,7152,0.10202488814317674,0.09276778867907098,0.9092662620603436,0.2494499999999998,1.605,240.6696875,36.28431582438336,0.15076396284589583,0.0,307.577,0.18498322147651006,48.477646812080536,7.038003111579889,0.0,50.455,0.10724272930648769,0.9010005592841164,2.3228999999999997,14.574000000000002,0.05018614086666375,0.094074281192952,0.029825339113410707,0.11850000000000005,8.707899594462313,50.825
BR14,6528,0.0834702818627451,0.059842139807572886,0.716927491702672,0.182,0.587,243.44994178921567,34.2120205986791,0.14053000114619302,0.0,274.747,0.2852328431372549,48.633846813725484,6.587135430902331,0.0,50.265,0.10248161764705882,0.7970957414215687,1.6652999999999991,4.62,0.07809027417069257,0.07543629191792162,0.02274689750268117,0.071,8.226092079056228,50.938300000000005
BR15,7152,0.14038157158836687,0.10931743307186301,0.778716407253286,0.323,1.03,244.02982088926177,35.25954851418371,0.14448868743047652,0.0,309.16700000000003,0.30341163310961966,48.614428131991055,6.656449397929722,0.0,50.27,0.10276845637583892,1.2298819910514542,2.742,8.144,-0.0015676354451611726,0.041324027152701004,0.03804390994266536,0.154,8.372585372675152,51.135000000000005
BR16,6528,0.017595894607843138,0.018475529138660667,1.0499908956277475,0.048,0.195,229.83981816789216,39.615482835619254,0.1723612694762974,0.0,267.525,0.2590379901960784,47.68219071691177,8.02231755663881,0.0,50.254,0.16865808823529413,0.20196400122549021,0.587,1.611,0.12656976703269426,0.13606196351174457,0.00644400183851693,0.025,14.234384556457792,88.37159999999993
BR17,6682,0.04199431307991619,0.06734338967929618,1.6036311762295072,0.16294999999999982,0.962,230.00299938474842,39.50619477482756,0.17176382430014187,0.0,299.456,0.26623765339718647,47.63500906248961,7.90677612378409,0.0,50.264,0.17150553726429213,0.07271700089793474,0.462,8.651,0.010190707062785444,0.029066037643225347,0.014277503367759318,0.059,14.161587486903159,83.20400000000004
BR18,7104,0.2857882882882883,0.2725254393708297,0.9535920488663282,0.876,1.685,230.7298994932432,38.72216033946499,0.1678246314175634,0.0,269.10900000000004,0.27984234234234234,47.752808699324326,7.747838587765433,0.0,55.54600000000001,0.16920045045045046,3.082033643018018,8.542699999999998,17.282,0.02416554211880408,0.052418014899779736,0.1289791637336337,0.546,14.186582429959174,91.7173999999999
BR19,7248,0.05741694260485652,0.07096624804796087,1.235980963604257,0.188,1.063,234.19537996688743,39.08235681271146,0.1668792818126355,0.0,290.805,0.1993653421633554,47.73919936534217,7.781509098497248,0.0,50.268,0.16708057395143489,0.6149225993377483,1.9942999999999993,8.931000000000001,-0.04052431060507998,0.005604876126248706,0.023513453842969503,0.10200000000000001,14.187062370636125,83.63059999999986
BR20,5232,0.03146483180428134,0.08166330708090255,2.595383556755286,0.144,1.274,231.2399998088685,38.63505719081376,0.1670777427034578,0.0,291.183,0.21387614678899083,47.72023107798165,7.7782154715300695,0.0,50.267,0.1731651376146789,0.0863281727828746,0.06,11.11,-0.0014148296471283598,0.03300763015362401,0.01494895813419996,0.07349999999999995,13.938780347925828,77.0835
BR22,4176,0.13591666666666666,0.10734687743855609,0.7897992208845329,0.27625,1.018,239.83294468390807,35.68900910045708,0.1488077842995841,0.0,268.555,0.15613026819923373,48.15112212643678,7.055905668672258,0.0,50.184,0.13553639846743296,1.5521135057471265,3.06025,8.764,0.10186447195875759,0.1390627263017376,0.03765365269461078,0.12689999999999918,11.93737125748503,75.4825
BR23,7104,0.2942166385135135,0.2634436417630463,0.895407014008646,0.9418499999999994,1.218,246.95887274774773,33.003944068705465,0.13364145900688826,0.0,282.73,0.3844313063063063,48.81611739864865,6.249395806922647,0.0,50.27,0.09206081081081081,2.482998310810811,7.671549999999998,10.269,0.053753572814877804,0.011609616206198688,0.06978868083908209,0.31489999999999957,7.182527805152754,42.13459999999993
BR24,7104,0.31349577702702697,0.31975790457489284,1.0199751575834657,1.084,2.031,239.05798747184684,33.43735398776655,0.1398713104773559,0.0,308.472,0.21579391891891891,48.83251097972974,6.472611736625922,0.0,50.365,0.08319256756756757,2.718237612612613,9.363599999999991,17.993000000000002,-0.06682867713698812,-0.048969417916883785,0.11461804871181192,0.4918999999999996,6.791158946923835,26.40990000000002
BR26,7872,0.32125203252032525,0.1916993686584087,0.5967257768128832,0.661,0.952,225.9904373729675,33.26650689113282,0.1472031616817079,0.0,250.541,0.5213414634146342,48.64011864837398,6.957723380109548,0.0,50.269,0.09489329268292683,2.8662267530487804,5.86945,8.884,0.06961196627792034,0.09673304860903384,0.06485656206327024,0.20650000000000004,7.636254859611231,44.507999999999996
BR27,5722,0.020589129674938835,0.020504479342587725,0.9958885910338334,0.056,0.176,219.04778235077092,44.78829821219755,0.20446816549129024,0.0,295.583,0.5877315623907725,47.438374179579796,8.948866306073572,0.0,50.324,0.15623907724571828,0.2971911433453726,0.7769499999999997,2.399,-0.11707889140396986,-0.04715299078348719,0.006184408320223737,0.031000000000000003,13.848801646953717,87.08
BR28,7872,0.15699072662601624,0.0781206715568154,0.4976132873307523,0.295,0.486,226.70082583841463,36.49721863530987,0.16099287905251816,0.0,294.821,0.46963922764227645,48.462769181910566,7.491520968467544,0.0,50.266000000000005,0.09870426829268293,1.532130462398374,2.954,5.0920000000000005,0.11775184917157448,0.1658725900820227,0.03073307076610342,0.10200000000000001,7.841398424596621,43.216999999999985
BR29,7632,0.14547091194968553,0.11356179561570817,0.7806495064455644,0.329,0.719,222.3056269654088,33.93187592419395,0.15263615405233905,0.0,291.064,0.6740041928721174,48.4804858490566,7.095251595195077,0.0,50.269,0.10862159329140461,1.356384827044025,2.9859,6.458,0.08469377209435874,0.10982970430916147,0.0307528502162233,0.10999999999999999,8.915623378325252,50.116
BR30,4272,0.0508813202247191,0.04572929628621651,0.8987442952394219,0.13744999999999982,0.298,235.42391970973785,28.959536002879915,0.12301016837450125,0.0,287.817,0.21161048689138576,49.059591760299625,5.697579637330672,0.0,50.179,0.06952247191011236,0.46217696629213484,1.185,12.810999999999998,0.01780969298058081,0.030316353714568735,0.01198946382580192,0.04800000000000001,6.0816553500351205,24.610500000000016
BR31,7632,0.3099731394129979,0.33268655605610475,1.073275435046145,1.0108999999999997,2.366,228.10562735849058,35.91332138029066,0.15744162823238605,0.0,250.822,0.3532494758909853,48.47088338574424,7.494464502626678,0.0,50.267,0.09748427672955975,2.7797422693920333,8.85425,20.277,0.051236786480808656,0.06389819989581429,0.16745092386318963,0.6739999999999999,7.766608046127637,45.69000000000001
BR32,6432,0.15338013059701494,0.11702990378459069,0.7630056339700907,0.366,0.726,211.21744916044776,80.06054540815965,0.37904323589924155,0.0,316.839,0.599502487562189,42.38985105721393,15.667152058193986,0.0,50.224,0.2898009950248756,1.481798041044776,3.6410000000000005,6.559,0.345881836815593,0.42083954514106614,0.05692955994402115,0.21399999999999997,29.280862696314728,163.253
BR33,6576,0.07024467761557177,0.06313421193707151,0.8987757376094212,0.196,0.392,202.205849756691,76.12149414360866,0.3764554499051519,0.0,313.999,0.5635644768856448,42.4288371350365,15.621955530732809,0.0,50.391000000000005,0.28847323600973235,0.8702895377128954,2.4735,6.21,0.287490206497409,0.3688700891477513,0.026822357414448668,0.10600000000000001,28.310334752851713,155.7355999999999
BR34,6459,0.08764777829385353,0.1432337950763346,1.6341976700894785,0.198,1.281,217.88970052123656,81.04387913444981,0.37194910516915825,0.0,309.49,0.6668214893946431,42.47624109339251,15.641327548220083,0.0,50.695,0.2890540331320638,0.7597993153394919,1.642,10.534,0.16270670662776193,0.18035372536581187,0.026676370393310625,0.117,29.627587643233202,169.42734999999988
BR35,6768,0.20163460401891253,0.17778106866399573,0.8816991980568999,0.543,1.436,201.03184249408983,81.3671204422905,0.4047474242528649,0.0,327.60900000000004,0.5626477541371159,41.81530998817966,16.316563048670574,0.0,51.517,0.29536052009456265,1.923957890070922,5.3211999999999975,14.938,0.2365375444912205,0.2970205610322838,0.08760440372395448,0.343,28.2905640608837,154.4371
BR36,5856,0.17968084016393443,0.13413070119330403,0.7464941786276597,0.445,0.759,202.7318761953552,76.88454765153675,0.3792425201917914,0.0,304.342,0.5124658469945356,42.653771345628414,15.61568584825847,0.0,50.263,0.2827868852459016,1.8510233948087433,4.5715,8.769,0.29114631601298385,0.3326169591554588,0.06325602049530317,0.248,25.939067634500425,150.255
BR37,6768,0.24055245271867612,0.17204483874125173,0.71520716915099,0.5016499999999996,1.964,220.69866445035464,82.7604997616736,0.3749932060884323,0.0,278.106,0.8057033096926713,42.402794621749415,15.71783375240562,0.0,50.221,0.2842789598108747,2.548220005910166,4.9506499999999996,15.229,0.5232929812396713,0.4700668891992134,0.07713270282252106,0.328,29.97233116595242,177.0574
BR38,5616,0.20934419515669514,0.2611613345884459,1.2475212622588623,0.836,1.863,211.6774932336182,77.28387244070242,0.3651019825495002,0.0,298.989,0.36645299145299143,42.75832104700855,15.435680979301605,0.0,50.56,0.26816239316239315,1.7952818732193732,7.26075,16.369999999999997,0.20393068985238338,0.2235200803544386,0.09493428317008015,0.445,26.944845770258237,157.00180000000017
BR39,5472,0.06170888157894737,0.06437644220644537,1.043228147379162,0.188,0.312,225.97655281432748,83.37983400543364,0.36897559931336005,0.0,283.54200000000003,0.8662280701754386,42.44661184210526,15.527408372398002,0.0,54.096,0.2889254385964912,0.5717081505847954,1.6752499999999992,2.79,0.3130082585096087,0.3347312634857133,0.016368122829464447,0.07600000000000005,31.74872929994517,181.35
BR42,6048,0.007201058201058201,0.040070232523876516,5.564492246151845,0.0,0.753,204.75760648148147,64.45054361032844,0.3147650762178519,0.0,277.188,0.5949074074074074,44.752442625661374,13.259878077384531,0.0,50.633,0.21643518518518517,0.06937285052910053,0.003,7.162000000000001,0.03608920813822731,0.0410092914108048,0.0024216967091119563,0.0,21.674257483049445,129.34830000000002
BR43,4752,0.03859995791245792,0.034834746901092034,0.9024555669230229,0.098,0.195,202.39026683501683,65.89947440703195,0.32560594655844516,0.0,266.579,0.6087962962962963,44.50349768518518,13.647992131952602,0.0,50.18,0.21843434343434343,0.37094591750841754,0.9274499999999999,1.686,0.246488741088028,0.2859817321361364,0.009418438223531889,0.046999999999999945,21.409458219322243,128.261
BR44,6144,0.028699707031249997,0.05683042646798805,1.9801744458961759,0.158,0.726,228.2174396158854,68.55730892855442,0.30040346190871203,0.0,279.068,0.5540364583333334,44.92942171223958,13.264046673740575,0.0,50.47,0.20149739583333334,0.24391162109374998,1.3378499999999995,5.891,0.06602764102107396,0.08286259751269562,0.011075044766400782,0.066,22.256148461663685,146.9586
BR45,6288,0.29805104961832063,0.3039565406317523,1.01981368970515,1.013,1.975,232.67810671119594,68.67754891843589,0.29516119883027775,0.0,319.608,0.6366094147582697,45.0641550572519,13.113500824129822,0.0,50.19,0.1940203562340967,2.4552097646310433,8.353299999999999,17.654,0.17909003221668907,0.19475384171952725,0.10117464609511691,0.442,21.752578813424524,149.94179999999997
BR46,5472,0.050763706140350875,0.044306037338316395,0.8727896504605004,0.126,0.432,226.83078490497076,70.31667756057647,0.30999618323427824,0.0,287.241,0.5299707602339181,44.71604203216374,13.68646141895731,0.0,50.185,0.19517543859649122,0.4286482090643275,1.0204499999999999,3.891,0.33506415304721515,0.3449026066005012,0.01742332297569,0.062000000000000006,22.32312739901298,150.90200000000002
BR48,5712,0.05853851540616246,0.04622785740943707,0.7896998598049615,0.142,0.284,212.77378501400563,64.19398005688453,0.3017006068330223,0.0,271.753,0.564250700280112,45.09082755602241,13.02743383975364,0.0,50.188,0.19940476190476192,0.5516612394957983,1.3850000000000002,2.598,0.1740933323684808,0.2102623364522586,0.014837331465592714,0.06,20.866732621257224,134.37150000000003
BR49,5424,0.15653761061946903,0.13134029454836468,0.8390334695196218,0.42584999999999945,1.118,253.31338071533924,37.317556478616424,0.14731774678950738,0.0,315.8,0.7409660766961652,48.54363034660767,6.958780957237706,0.0,53.878,0.09402654867256637,1.401220685840708,3.760699999999999,9.625,0.05105994942593378,0.06338693942338472,0.0480400147519823,0.223,8.747102710676748,53.79439999999999
BR50,4560,0.09903157894736841,0.10575245946635502,1.067866034152182,0.279,0.936,252.60967850877194,36.8032224000921,0.14569205193305412,0.0,312.886,0.6822368421052631,48.61735460526315,6.848931395276657,0.0,50.558,0.0875,0.9949605263157896,2.8451000000000004,6.715999999999999,0.05914800498237359,0.07226896149212418,0.04477955692037728,0.2070999999999995,8.182174380346568,52.5392
BR51,4656,0.20425816151202747,0.14393421167691622,0.7046681053596032,0.492,1.276,251.6738058419244,36.01305796790782,0.14309418434482418,0.0,273.907,0.6645189003436426,48.63971176975945,6.789504725805778,0.0,50.285,0.08634020618556701,1.8293303264604812,4.16075,11.47,0.06827034255175057,0.08782013882630774,0.06158131041890442,0.251,8.045137701396348,51.87420000000001
BR52,5280,0.13274564393939392,0.1389644783244757,1.046847747319837,0.401,0.8109999999999999,236.67083615319865,42.111501362535485,0.1779327865106135,0.0,272.442,0.5386363636363637,47.94935837542087,7.996305844258211,0.0,50.257,0.14545454545454545,1.358277840909091,3.7361000000000004,7.093999999999999,-0.12394530404940189,-0.09816778631852333,0.033566963440045464,0.14909999999999948,11.637705247205911,76.15889999999993
